===== Starting battle of <SternBot> vs <DecoyBot> with memory tape size: 27 =====

[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 1 | 0 | 0< | 1 | -1 | 1 | >-8 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 1 | 0 | -1< | 1 | -1 | 1 | >-7 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 1 | 0< | -1 | 1 | -1 | 1 | >-7 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 1 | 1< | -1 | 1 | -1 | 1 | >-6 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 1< | 1 | -1 | 1 | -1 | 1 | >-6 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1 | 0< | 1 | -1 | 1 | -1 | 1 | >-5 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1< | 0 | 1 | -1 | 1 | -1 | 1 | >-5 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -1< | 0 | 1 | -1 | 1 | -1 | 1 | >-4 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -2< | 0 | 1 | -1 | 1 | -1 | 1 | >-4 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -2< | 0 | 1 | -1 | 1 | -1 | 1 | >-3 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -3< | 0 | 1 | -1 | 1 | -1 | 1 | >-3 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -3< | 0 | 1 | -1 | 1 | -1 | 1 | >-2 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -4< | 0 | 1 | -1 | 1 | -1 | 1 | >-2 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -4< | 0 | 1 | -1 | 1 | -1 | 1 | >-1 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -5< | 0 | 1 | -1 | 1 | -1 | 1 | >-1 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -5< | 0 | 1 | -1 | 1 | -1 | 1 | >0 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -6< | 0 | 1 | -1 | 1 | -1 | 1 | >0 | 10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -6< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -7< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >10 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -7< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >9 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -8< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >9 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -8< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >8 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -9< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >8 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -9< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >7 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -10< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >7 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -10< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >6 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -11< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >6 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -11< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >5 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -12< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >5 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -12< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >4 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -13< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >4 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -13< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >3 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -14< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >3 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -14< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >2 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -15< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >2 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -15< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -16< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >1 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -16< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >0 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -17< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | >0 | 128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -17< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -18< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >128 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -18< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -19< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -19< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-126 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -20< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-126 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -20< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-125 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -21< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-125 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -21< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-124 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -22< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-124 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -22< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-123 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -23< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-123 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -23< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-122 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -24< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-122 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -24< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-121 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -25< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-121 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -25< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-120 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -26< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-120 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -26< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-119 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -27< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-119 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -27< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-118 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -28< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-118 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -28< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-117 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -29< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-117 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -29< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-116 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -30< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-116 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -30< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-115 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -31< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-115 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -31< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-114 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -32< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-114 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -32< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-113 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -33< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-113 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -33< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-112 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -34< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-112 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -34< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-111 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -35< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-111 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -35< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-110 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -36< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-110 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -36< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-109 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -37< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-109 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -37< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-108 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -38< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-108 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -38< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-107 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -39< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-107 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -39< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-106 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -40< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-106 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -40< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-105 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -41< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-105 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -41< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-104 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -42< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-104 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -42< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-103 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -43< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-103 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -43< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-102 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -44< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-102 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -44< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-101 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -45< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-101 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -45< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-100 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -46< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-100 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -46< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-99 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -47< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-99 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -47< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-98 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -48< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-98 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -48< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-97 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -49< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-97 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -49< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-96 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -50< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-96 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -50< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-95 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -51< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-95 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -51< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-94 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -52< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-94 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -52< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-93 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -53< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-93 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -53< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-92 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -54< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-92 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -54< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-91 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -55< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-91 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -55< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-90 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -56< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-90 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -56< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-89 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -57< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-89 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -57< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-88 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -58< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-88 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -58< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-87 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -59< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-87 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -59< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-86 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -60< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-86 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -60< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-85 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -61< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-85 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -61< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-84 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -62< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-84 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -62< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-83 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -63< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-83 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -63< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-82 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -64< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-82 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -64< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-81 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -65< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-81 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -65< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-80 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -66< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-80 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -66< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-79 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -67< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-79 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -67< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-78 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -68< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-78 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -68< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-77 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -69< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-77 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -69< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-76 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -70< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-76 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -70< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-75 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -71< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-75 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -71< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-74 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -72< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-74 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -72< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-73 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -73< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-73 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -73< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-72 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -74< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-72 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -74< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-71 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -75< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-71 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -75< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-70 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -76< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-70 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -76< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-69 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -77< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-69 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -77< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-68 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -78< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-68 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -78< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-67 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -79< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-67 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -79< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-66 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -80< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-66 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -80< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-65 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -81< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-65 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -81< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-64 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -82< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-64 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -82< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-63 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -83< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-63 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -83< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-62 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -84< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-62 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -84< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-61 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -85< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-61 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -85< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-60 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -86< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-60 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -86< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-59 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -87< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-59 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -87< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-58 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -88< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-58 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -88< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-57 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -89< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-57 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -89< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-56 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -90< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-56 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -90< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-55 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -91< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-55 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -91< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-54 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -92< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-54 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -92< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-53 ]
[ 128 | -1 | 1 | 0 | -1 | 1 | 0 | -93< | 0 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | >-53 ]
